epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
101,2507.85,0.69995,0.48539,1.03905,0.99636,0.96842,0.98379,0.79873,0.74746,0.36387,1.12757,0.000841835,0.000841835,0.000841835
102,2533.36,0.7277,0.49276,1.04962,0.99352,0.97242,0.98241,0.81125,0.73678,0.35661,1.1208,0.000833583,0.000833583,0.000833583
103,2557.99,0.67959,0.47249,1.02747,0.99192,0.97017,0.98573,0.81386,0.74686,0.36104,1.10226,0.000825332,0.000825332,0.000825332
104,2581.62,0.68843,0.48189,1.03689,0.99562,0.97745,0.9802,0.81626,0.74952,0.36346,1.12415,0.00081708,0.00081708,0.00081708
105,2605.26,0.68789,0.47591,1.0379,0.99102,0.96562,0.97689,0.80622,0.73003,0.36606,1.10332,0.000808828,0.000808828,0.000808828
106,2631.52,0.69712,0.47008,1.0365,0.98966,0.97368,0.97973,0.8054,0.7392,0.37586,1.10873,0.000800577,0.000800577,0.000800577
107,2658.45,0.6934,0.47218,1.02813,0.99176,0.97256,0.98358,0.79691,0.74674,0.37127,1.10863,0.000792325,0.000792325,0.000792325
108,2682.03,0.70051,0.46206,1.02627,0.99835,0.97368,0.9818,0.80332,0.73059,0.37457,1.08113,0.000784073,0.000784073,0.000784073
109,2707.19,0.68066,0.46355,1.0275,0.98289,0.98068,0.98768,0.80787,0.73416,0.34733,1.0941,0.000775822,0.000775822,0.000775822
110,2731.72,0.67513,0.46391,1.02498,0.99728,0.95674,0.98676,0.81319,0.67969,0.34857,1.04999,0.00076757,0.00076757,0.00076757
111,2755.03,0.66339,0.44783,1.02064,0.98136,0.98421,0.98961,0.79614,0.72203,0.33909,1.08421,0.000759318,0.000759318,0.000759318
112,2778.69,0.65768,0.43812,1.01216,0.99299,0.98381,0.98858,0.81677,0.72489,0.34694,1.09836,0.000751067,0.000751067,0.000751067
113,2805.17,0.67076,0.45086,1.02417,0.99794,0.96316,0.98924,0.82106,0.74525,0.3612,1.09335,0.000742815,0.000742815,0.000742815
114,2832.11,0.65953,0.43049,1.01769,0.99485,0.96283,0.98816,0.82048,0.71447,0.34344,1.06864,0.000734564,0.000734564,0.000734564
115,2855.37,0.65984,0.44112,1.01859,0.99476,0.96842,0.98905,0.82098,0.70792,0.33885,1.08731,0.000726312,0.000726312,0.000726312
116,2881.2,0.63813,0.45374,1.00653,0.9721,0.97895,0.98459,0.81957,0.73148,0.35389,1.10434,0.00071806,0.00071806,0.00071806
117,2905.23,0.64809,0.43666,1.01466,0.99058,0.96842,0.98539,0.82295,0.71156,0.34947,1.09271,0.000709809,0.000709809,0.000709809
118,2928.88,0.66431,0.448,1.01274,0.99273,0.96842,0.98344,0.81427,0.70793,0.34416,1.09752,0.000701557,0.000701557,0.000701557
119,2953.09,0.63355,0.41996,0.99929,0.9811,0.97895,0.98653,0.8271,0.72825,0.34066,1.09689,0.000693305,0.000693305,0.000693305
120,2978.9,0.6156,0.41948,0.99279,0.9953,0.96484,0.98434,0.80335,0.76272,0.36681,1.12822,0.000685054,0.000685054,0.000685054
121,3005.93,0.61997,0.41004,0.99543,0.9825,0.97726,0.98964,0.82277,0.71087,0.33666,1.08898,0.000676802,0.000676802,0.000676802
122,3029.55,0.64832,0.4255,0.9948,0.98649,0.98421,0.98594,0.81163,0.71521,0.34393,1.0887,0.00066855,0.00066855,0.00066855
123,3054.74,0.62457,0.41962,0.99068,0.99633,0.95789,0.9821,0.80931,0.73054,0.35496,1.10696,0.000660299,0.000660299,0.000660299
124,3079.33,0.62151,0.40735,0.99837,0.9892,0.96584,0.98468,0.82439,0.6942,0.33955,1.07181,0.000652047,0.000652047,0.000652047
125,3102.8,0.62238,0.41143,0.99759,0.98854,0.97358,0.98681,0.82215,0.72174,0.32993,1.09997,0.000643795,0.000643795,0.000643795
126,3126.8,0.62952,0.42069,0.9988,0.99512,0.96316,0.98634,0.81629,0.69011,0.35236,1.07816,0.000635544,0.000635544,0.000635544
127,3152.63,0.63849,0.42461,1.00588,0.99557,0.97368,0.98861,0.81841,0.70894,0.34399,1.08075,0.000627292,0.000627292,0.000627292
128,3179.03,0.62236,0.41666,1.00105,0.98475,0.97672,0.98486,0.81098,0.75353,0.34107,1.11989,0.00061904,0.00061904,0.00061904
129,3202.33,0.61493,0.41145,0.98704,0.98976,0.96408,0.97916,0.80315,0.69491,0.33927,1.07144,0.000610789,0.000610789,0.000610789
130,3227.76,0.60397,0.40194,0.98884,0.99702,0.95867,0.98392,0.81,0.72447,0.33878,1.09968,0.000602537,0.000602537,0.000602537
131,3251.86,0.60891,0.40423,0.98546,0.99686,0.96065,0.98025,0.81134,0.71521,0.35508,1.09424,0.000594286,0.000594286,0.000594286
132,3275.89,0.5947,0.3916,0.98453,0.99285,0.96312,0.97471,0.80682,0.72413,0.35044,1.0918,0.000586034,0.000586034,0.000586034
133,3300.06,0.61767,0.39675,0.99151,0.99443,0.97643,0.9785,0.80621,0.72978,0.35393,1.08847,0.000577782,0.000577782,0.000577782
